series,name,asset_year,page_url,image_url,output_path,top_folder,collection_folder
Santa's Little Helper Series,Lop Ear Rabbit,2025,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Lop-Ear-Rabbit_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/04__lop-ear-rabbit.png,limited,special-collections
Santa's Little Helper Series,Pig,2025,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Pig_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/03__pig.png,limited,special-collections
Santa's Little Helper Series,Sloth,2025,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Sloth_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/06__sloth.png,limited,special-collections
Snack Series,Coffee,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Coffee.png,sonny_png_library_web/regulars/cafe-collections/snack-series/07__coffee.png,regulars,cafe-collections
Snack Series,Donut,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Donut.png,sonny_png_library_web/regulars/cafe-collections/snack-series/09__donut.png,regulars,cafe-collections
Snack Series,French Fries,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/French_Fries.png,sonny_png_library_web/regulars/cafe-collections/snack-series/03__french-fries.png,regulars,cafe-collections
Snack Series,Fried Chicken,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChicken.png,sonny_png_library_web/regulars/cafe-collections/snack-series/11__fried-chicken.png,regulars,cafe-collections
Snack Series,Fried Chicken Sandwich,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChickenSandwich.png,sonny_png_library_web/regulars/cafe-collections/snack-series/12__fried-chicken-sandwich.png,regulars,cafe-collections
Snack Series,Hamburger,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Hamburger-1.png,sonny_png_library_web/regulars/cafe-collections/snack-series/01__hamburger.png,regulars,cafe-collections
Snack Series,Hot Dog,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/HotDog.png,sonny_png_library_web/regulars/cafe-collections/snack-series/10__hot-dog.png,regulars,cafe-collections
Snack Series,Ketchup,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Ketchup.png,sonny_png_library_web/regulars/cafe-collections/snack-series/04__ketchup.png,regulars,cafe-collections
Snack Series,Milkshake,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Milkshake.png,sonny_png_library_web/regulars/cafe-collections/snack-series/06__milkshake.png,regulars,cafe-collections
Snack Series,Mustard,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Mustard.png,sonny_png_library_web/regulars/cafe-collections/snack-series/05__mustard.png,regulars,cafe-collections
Snack Series,Sandwich,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sandwich.png,sonny_png_library_web/regulars/cafe-collections/snack-series/02__sandwich.png,regulars,cafe-collections
Snack Series,Sugar,2025,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sugar.png,sonny_png_library_web/regulars/cafe-collections/snack-series/08__sugar.png,regulars,cafe-collections
Strawberry Love Series,Fawn,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_05-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/05__fawn.png,limited,valentines-collections
Strawberry Love Series,Lop Ear Rabbit,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_02-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/02__lop-ear-rabbit.png,limited,valentines-collections
Strawberry Love Series,Monkey,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_04-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/04__monkey.png,limited,valentines-collections
Strawberry Love Series,Mouse,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_03-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/03__mouse.png,limited,valentines-collections
Strawberry Love Series,Rabbit,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_01-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/01__rabbit.png,limited,valentines-collections
Strawberry Love Series,Strawberry,2026,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_06-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/06__strawberry.png,limited,valentines-collections
