output_path,top_folder,collection_folder,series,name,image_url,page_url
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-peaceful-spring-edition-2022/01__rabbit.png,limited,cherry-blossom-collections,Cherry Blossom -Peaceful Spring Edition- (2022),Rabbit,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/rabbit-1.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-peaceful-spring-edition-2022/02__calico-cat.png,limited,cherry-blossom-collections,Cherry Blossom -Peaceful Spring Edition- (2022),Calico Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/calicocat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-peaceful-spring-edition-2022/03__goat.png,limited,cherry-blossom-collections,Cherry Blossom -Peaceful Spring Edition- (2022),Goat,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/goat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/animal-collections/bug-s-world-2022/04__butterfly.png,limited,animal-collections,Bug's World (2022),Butterfly,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/04/butterfly.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/01__dalmatian.png,limited,valentines-collections,Message of Love (2022),Dalmatian,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/dalmatian.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-peaceful-spring-edition-2022/04__peacock.png,limited,cherry-blossom-collections,Cherry Blossom -Peaceful Spring Edition- (2022),Peacock,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/peacock.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/04__mouse.png,limited,valentines-collections,Message of Love (2022),Mouse,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/mouse.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/03__fennec.png,limited,valentines-collections,Message of Love (2022),Fennec,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/fennec.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/02__rabbit.png,limited,valentines-collections,Message of Love (2022),Rabbit,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/rabbit.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/05__deer.png,limited,valentines-collections,Message of Love (2022),Deer,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/deer.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/message-of-love-2022/06__cow.png,limited,valentines-collections,Message of Love (2022),Cow,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/02/cow.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/harvest-series-2021/04__autumn.png,limited,special-collections,Harvest Series(2021),Autumn,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Autumn.jpg,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/05__fawn.png,limited,christmas-collections,Dreaming Christmas (2021),fawn,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/10/fawn-1.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/04__rabbit.png,limited,christmas-collections,Dreaming Christmas (2021),Rabbit,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/07/rabbit.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/02__tapir.png,limited,christmas-collections,Dreaming Christmas (2021),tapir,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/10/tapir-1.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/01__sheep.png,limited,christmas-collections,Dreaming Christmas (2021),Sheep,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/07/sheep.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/06__owl.png,limited,christmas-collections,Dreaming Christmas (2021),owl,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/10/owl-1.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/dreaming-christmas-2021/03__monkey.png,limited,christmas-collections,Dreaming Christmas (2021),Monkey,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/07/monkey.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/harvest-series-2021/01__pumpkin.png,limited,special-collections,Harvest Series(2021),Pumpkin,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Pumpkin.jpg,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/harvest-series-2021/03__maple-leaf.png,limited,special-collections,Harvest Series(2021),Maple_Leaf,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Maple_Leaf.jpg,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/harvest-series-2021/02__ginkgo-leaf.png,limited,special-collections,Harvest Series(2021),Ginkgo Leaf,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Ginkgo_Leaf.jpg,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/halloween-series-2021/01__witch.png,limited,special-collections,Halloween Series(2021),Witch,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/witch.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/halloween-series-2021/02__pumpkin.png,limited,special-collections,Halloween Series(2021),Pumpkin,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/pumpkin.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/summer-festival-series-2021/02__water-balloon.png,limited,special-collections,Summer Festival Series(2021),Water Balloon,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Water-Balloon.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/summer-festival-series-2021/03__fan.png,limited,special-collections,Summer Festival Series(2021),Fan,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Fan.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/summer-festival-series-2021/01__goldfish.png,limited,special-collections,Summer Festival Series(2021),Goldfish,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Goldfish.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/summer-festival-series-2021/04__kitsune-mask.png,limited,special-collections,Summer Festival Series(2021),Kitsune Mask,https://www.sonnyangel.com/renewal/wp-content/uploads/2022/11/Kitsune-Mask.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/halloween-series-2021/04__ghost.png,limited,special-collections,Halloween Series(2021),Ghost,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/ghost.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/halloween-series-2021/05__bat.png,limited,special-collections,Halloween Series(2021),Bat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/bat.png,https://www.sonnyangel.com/products/mini-figure-limited/
